"Qty"	"Value"	"Device"	"Parts"	"BOM"	"CAP_REV_V"	"CURRENT_AVG_RECT"	"CURRENT_DC"	"CURRENT_REV_LEAK"	"CURRENT_SAT"	"DCR_MAX"	"ESR"	"FINISH"	"FORWARD_CURRENT"	"FORWARD_VOLTAGE"	"IMPEDANCE"	"INTERFACE"	"LOCKING"	"MANUFACTURER"	"MANUFACTURER_PN"	"MAX_CURRENT"	"MOUNT_ANGLE"	"MOUNT_TYPE"	"MPN"	"OC_FARNELL"	"OC_NEWARK"	"OUTPUT_ACTIVE"	"OUTPUT_ACTIVE_TIME"	"OUTPUT_BITS"	"OUTPUT_TYPE"	"PACKAGE"	"PITCH"	"POSITIONS"	"POWER"	"PRESSURE_TYPE"	"RESOLUTION"	"ROWS"	"SHIELDED"	"STARTUP_DELAY"	"TEMP_COEFF"	"TIMEOUT"	"TOLERANCE"	"TP_SIGNAL_NAME"	"TYPE"	"VALUE"	"VENDOR"	"VENDOR_PN"	"VOLTAGE"	"VOLTAGE_DC_REV"	"VOLTAGE_FWD"
"5"	"75"	"RES_0R75_0603"	"R1001, R1002, R1003, R1004, R1007"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Panasonic"	"ERJ-3EKF75R0V"	""	""	""	""	""	""	""	""	""	""	""	""	""	"1/10W"	""	""	""	""	""	""	""	"1%"	""	""	"75"	"Digi-key"	"P75.0HCT-ND"	""	""	""
"1"	"150"	"RES_0R150_0805"	"R1201"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Panasonic"	"ERJ-6ENF1500V"	""	""	""	""	""	""	""	""	""	""	""	""	""	"1/8W"	""	""	""	""	""	""	""	"1%"	""	""	"150"	"Digi-Key"	"P150CCT-ND"	""	""	""
"4"	"23.2"	"RES_0R23S2_0603"	"R1202, R1203, R1204, R1205"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Panasonic"	"ERJ-3EKF23R2V"	""	""	""	""	""	""	""	""	""	""	""	""	""	"1/10W"	""	""	""	""	""	""	""	"1%"	""	""	"23.2"	"Digi-Key"	"P23.2HCT-ND"	""	""	""
"4"	"SHORT-HT5"	"SHORT-HT5"	"SH1, SH2, SH3, SH4"	"no"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"56"	"TPTP15R"	"TPTP15R"	"TP1, TP2, TP3, TP4, TP5, TP6, TP7, TP8, TP9, TP10, TP11, TP12, TP13, TP14, TP15, TP16, TP17, TP18, TP19, TP20, TP21, TP22, TP23, TP24, TP25, TP26, TP27, TP28, TP29, TP30, TP31, TP32, TP33, TP34, TP35, TP36, TP37, TP38, TP39, TP40, TP41, TP42, TP43, TP44, TP45, TP47, TP48, TP49, TP50, TP51, TP52, TP53, TP54, TP55, TP56, TP57"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"1"	"LP2985-33DBVR"	"LP2985-33_DBV_5"	"U401"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Texas Instruments"	"LP2985-33DBVR"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"LP2985-33DBVR"	"Digi-Key"	"296-18476-1-ND"	""	""	""
"3"	"TPS562209DDCT"	"TPS562209DDCR"	"U402, U601, U602"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Texas Instruments"	"TPS562209DDCT"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TPS562209DDCT"	"Digi-Key"	"296-37302-1-ND"	""	""	""
"1"	"MAX6371"	"MAX63XX71KA_SOT23"	"U403"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Maxim"	"MAX6371KA+T"	""	""	""	""	""	""	"Low"	"120us (min)"	""	"Open Drain"	""	""	""	""	""	""	""	""	"60s"	""	"Adjustable (up to 60s)"	""	""	""	"MAX6371"	"Digikey"	"MAX6371KA+TCT-ND"	""	""	""
"5"	"2N7002P,215"	"2N7002P_215"	"U501, U1101, U1102, U1103, U1104"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"NXP"	"2N7002P,215"	""	""	""	""	""	""	""	""	""	""	"SOT-23-3"	""	""	""	""	""	""	""	""	""	""	""	""	""	"2N7002P,215"	"Digi-Key"	"568-5818-1-ND"	""	""	""
"1"	"LM3488MMX/NOPB"	"LM3488MMX/NOPB"	"U502"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Texas Instruments"	"LM3488MMX/NOPB"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"LM3488MMX/NOPB"	"Digi-Key"	"296-35417-1-ND"	""	""	""
"1"	"NDT2955"	"NDT2955"	"U503"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Fairchild"	"NDT2955"	""	""	""	""	""	""	""	""	""	""	"SOT-223-4"	""	""	""	""	""	""	""	""	""	""	""	""	""	"NDT2955"	"Digi-Key"	"NDT2955CT-ND"	""	""	""
"1"	"LP5900SD-3.3/NOPB"	"LP5900SD"	"U603"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TI"	"LP5900SD-3.3/NOPB"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"LP5900SD-3.3/NOPB"	"Digi-Key"	"LP5900SD-3.3/NOPBCT-ND"	""	""	""
"1"	"MAX-M8Q"	"UBLOX_MAX"	"U701"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"u-blox"	"MAX-M8Q"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"MAX-M8Q"	"Digi-Key"	"672-1003-1-ND"	""	""	""
"1"	"MMBT3904-HF"	"MMBT3904-7-F"	"U801"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Comchip"	"MMBT3904-HF"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"MMBT3904-HF"	"Digikey"	"641-1683-1-ND"	""	""	""
"1"	"PCT2075D,118"	"PCT2075D,118SOIC8"	"U901"	""	""	""	""	""	""	""	""	""	""	""	""	"I2C"	""	"NXP"	"PCT2075D,118"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"10b"	""	""	""	""	""	""	""	""	"PCT2075D,118"	"Digi-key"	"568-10219-1-ND"	""	""	""
"1"	"MS560702BA03-50"	"MS5607-02BA03_8SMD"	"U902"	""	""	""	""	""	""	""	""	""	""	""	""	"I2C,SPI"	""	"TE Connectivity"	"MS560702BA03-50"	""	""	""	""	""	""	""	""	"24b"	""	""	""	""	""	"Absolute"	""	""	""	""	""	""	""	""	""	"MS560702BA03-50"	"Digi-key"	"223-1198-1-ND"	""	""	""
"1"	"MCP4541-103E/MS"	"MCP4541-103E/MS"	"U903"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Microchip"	"MCP4541-103E/MS"	""	""	""	"MCP4541-103E/MS"	"1698945"	"77M2864"	""	""	""	""	"SOP-8"	""	""	""	""	""	""	""	""	""	""	""	""	""	"MCP4541-103E/MS"	"Digi-Key"	"MCP4541T-103E/MFCT-ND"	""	""	""
"1"	"MAX3232CSE+"	"MAX232SOIC16"	"U1001"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Maxim"	"MAX3232CSE+"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"MAX3232CSE+"	"Digikey"	"MAX3232CSE+-ND"	""	""	""
"1"	"MAX4311"	"MAX4311EEE"	"U1002"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Maxim"	"MAX4311EEE+"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"MAX4311"	"Digikey"	"MAX4311EEE+-ND"	""	""	""
