"Qty;""Value"";""Device"";""Package"";""Parts"";""Description"";""FINISH"";""LOCKING"";""MANUFACTURER"";""MANUFACTURER_PN"";""MAX_CURRENT"";""MOUNT_ANGLE"";""MOUNT_TYPE"";""POSITIONS"";""POWER"";""PROD_ID"";""TEMP_COEFF"";""TOLERANCE"";""TP_SIGNAL_NAME"";""VALUE"";""VENDOR"";""VENDOR_PN"";""VOLTAGE"";""_EXTERNAL_"";",,,,,,,,,,,,,,,,,,,,,
"1;""4.7k"";""RES_47R0_0805"";""R0805"";""R3"";""Chip Resistor"";"""";"""";""Panasonic"";""ERJ-P06F4701V"";"""";"""";"""";"""";""1/2W"";"""";"""";""1%"";"""";""4.7k"";""Digi-key"";""P16073CT-ND"";"""";"""";",,,,,,,,,,,,,,,,,,,,,
"1;""4V5"";""TEST_POINT_TP10R_SMD_10R_SMD"";""TP10R"";""TP2"";""Test Point (various sizes)"";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";",,,,,,,,,,,,,,,,,,,,,
"1;""555OUT"";""TEST_POINT_TP10R_SMD_10R_SMD"";""TP10R"";""TP3"";""Test Point (various sizes)"";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";",,,,,,,,,,,,,,,,,,,,,
"5;""5mm Green LED 7500mcd"";""BOM_LINE_ITEM_BLI2"";""BLANK"";""BOM18", BOM22, BOM26, BOM30," BOM34"";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";""5mm Green LED 7500mcd"";""superbrightleds.com"";""RL5-G7532"";"""";"""";",,,,,,,,,,,,,,,,,
"4;""5mm Red LED 8000mcd"";""BOM_LINE_ITEM_BLI1"";""BLANK"";""BOM2", BOM6, BOM10," BOM14"";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";""5mm Red LED 8000mcd"";""superbrightleds.com"";""RL5-R8030"";"""";"""";",,,,,,,,,,,,,,,,,,
"1;""9V"";""BH9VPC"";""BC9VPC"";""BATT"";""9V board-mount battery cradle"";"""";"""";""MPD"";""BH9VPC"";"""";"""";"""";"""";"""";""BATT-10855"";"""";"""";"""";"""";""Digi-key"";""BH9V-PC-ND"";"""";"""";",,,,,,,,,,,,,,,,,,,,,
"1;""GND"";""TEST_POINT_TP10R_SMD_10R_SMD"";""TP10R"";""TP1"";""Test Point (various sizes)"";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";",,,,,,,,,,,,,,,,,,,,,
"0;""LMC555CMX/NOPB"";""LMC555CMX/NOPB"";""M08A"";""U2"";""555 Timer"";"""";"""";""Texas Instruments"";""LMC555CMX/NOPB"";"""";"""";"""";"""";"""";"""";"""";"""";"""";""LMC555CMX/NOPB"";""Digi-key"";""LMC555CMX/NOPBCT-ND"";"""";"""";",,,,,,,,,,,,,,,,,,,,,
"1;""LOGO"";""SQUAD_LOGO"";""SQUAD_LOGO"";""LOGO1"";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";",,,,,,,,,,,,,,,,,,,,,
"0;""LP2985AIM5-4.5/NOPB"";""LP2985AIM5-4.5/NOPB"";""MF05A"";""U1"";""4.5V LDO"";"""";"""";""Texas Instruments"";""LP2985AIM5-4.5/NOPB"";"""";"""";"""";"""";"""";"""";"""";"""";"""";""LP2985AIM5-4.5/NOPB"";""Digi-key"";""LP2985AIM5-4.5/NOPBCT-ND"";"""";"""";",,,,,,,,,,,,,,,,,,,,,
