"Qty"	"Value"	"Device"	"Package"	"Parts"	"Description"	"ACCURACY"	"ACTUATOR_HEIGHT"	"ACUTATOR_ORIENTATION"	"CIRCUIT"	"CLIPPING"	"COLOR"	"CONTACTS"	"CONTACT_RATING"	"CONTINUOUS_DRAIN_CURRENT"	"CURRENT_DC"	"CURRENT_RATING"	"CURRENT_SAT"	"DATASHEET"	"DCR_MAX"	"DC_COLD_RESISTANCE"	"DIAMETER"	"DRILL"	"FET_TYPE"	"FINISH"	"FORWARD_CURRENT"	"FORWARD_VOLTAGE"	"FUNCTION"	"HEIGHT_BOTTOM"	"HEIGHT_TOP"	"INSULATED"	"INTERFACE"	"LOCKING"	"MANUFACTURER"	"MANUFACTURER_PN"	"MAX_CURRENT"	"MOUNTING_TYPE"	"MOUNT_ANGLE"	"MOUNT_TYPE"	"OUTPUT_ACTIVE"	"OUTPUT_ACTIVE_TIME"	"OUTPUT_BITS"	"OUTPUT_TYPE"	"PITCH"	"PLATING"	"POSITIONS"	"POWER"	"POWER_MAX"	"PRESSURE_TYPE"	"RATED_CURRENT"	"RDS_ON_MAX"	"RESOLUTION"	"RESPONSE_TIME"	"ROWS"	"SHIELDED"	"SRF"	"STARTUP_DELAY"	"SWITCH_FUNCTION"	"TEMP_COEFF"	"TERMINALS"	"TIMEOUT"	"TOLERANCE"	"TP_SIGNAL_NAME"	"VALUE"	"VDS"	"VENDOR"	"VENDOR_PN"	"VGS_MAX"	"VOLTAGE"	"VOLTAGE_RATING"	"_EXTERNAL_"	"VENDOR_PN"	"VGS_MAX"	"VOLTAGE"	"VOLTAGE_RATING"	"_EXTERNAL_"
"2"	"MOL-SL-2-RA"	"MOLSL_2PIN_SL2RA_RA"	"MOLSL-2-RA"	"J301, J401"	"Molex SL Series 2-Position Connector"	""	""	""	""	""	""	""	""	""	""	""	""	"HW/docs/projects/raspi_zero_power_sensor_hat/datasheets/connectors/uart_1wire_power_battery/705530001_sd.pdf"	""	""	""	""	""	"GOLD"	""	""	""	""	""	""	""	"YES"	"Molex"	"0705530001"	"3.0A"	""	"RIGHT"	"TH"	""	""	""	""	""	""	"2"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"MOL-SL-2-RA"	""	"Digi-key"	"WM4900-ND"	""	""	""	""	""	""	""	""	""
"1"	"USB_MICROB_RECPT"	"USB_B_MICRO_RIGHT"	"MICROUSB-RIGHT"	"J302"	"Description: 5 Pin USB Connectors. SLD is the shield connection. Usually tied to ground through a small ferrite bead."	""	""	""	""	""	""	"5"	""	""	""	""	""	"HW/docs/projects/raspi_zero_power_sensor_hat/datasheets/connectors/charger_power/10118193.pdf"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Amphenol"	"10118193-0001LF"	""	""	"RIGHT"	"TH/SMD"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"USB_MICROB_RECPT"	""	"Digi-key"	"609-4616-1-ND"	""	""	""	""	""	""	""	""	""
"1"	"MOL-SL-2-V"	"MOLSL_2PIN_SL2V_V"	"MOLSL-2-V"	"J402"	"Molex SL Series 2-Position Connector"	""	""	""	""	""	""	""	""	""	""	""	""	"HW/docs/projects/raspi_zero_power_sensor_hat/datasheets/connectors/uart_1wire_power_battery/705430001_sd.pdf"	""	""	""	""	""	"GOLD"	""	""	""	""	""	""	""	"YES"	"Molex"	"0705430001"	"3.0A"	""	"VERTICAL"	"TH"	""	""	""	""	""	""	"2"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"MOL-SL-2-V"	""	"Digi-key"	"WM4800-ND"	""	""	""	""	""	""	""	""	""
"1"	"RECEPTACLE-2x5-2.54MM"	"RECEPTICAL-2X5-254MM-PIZERO_TH"	"RECEPTACLE-2X5-254MM"	"J601"	".100” [2.54 mm] Contact Centers, Female Headers, Straight/Right Angle/SMT"	""	""	""	""	""	""	""	""	""	""	""	""	"HW/docs/projects/raspi_zero_power_sensor_hat/datasheets/connectors/raspi_header/78_P\(N\)PxCxxxLFBN-RC\,_10492-H.pdf"	""	""	""	""	""	"GOLD"	""	""	""	""	""	""	""	""	"Sullins"	"PPPC052LFBN-RC"	"3.0A"	""	"VERTICAL"	"TH"	""	""	""	""	"2.54mm"	""	"10"	""	""	""	""	""	""	""	"2"	""	""	""	""	""	""	""	""	""	"RECEPTACLE-2x5-2.54MM"	""	"Digi-key"	"S7108-ND"	""	""	""	""	""	""	""	""	""
"1"	"MOL-SL-4-RA"	"MOLSL_4PIN_SL4RA_RA"	"MOLSL-4-RA"	"J602"	"Molex SL Series 4-Position Connector"	""	""	""	""	""	""	""	""	""	""	""	""	"HW/docs/projects/raspi_zero_power_sensor_hat/datasheets/connectors/uart_1wire_power_battery/705530001_sd.pdf"	""	""	""	""	""	"GOLD"	""	""	""	""	""	""	""	"YES"	"Molex"	"0705530003"	"3.0A"	""	"RIGHT"	"TH"	""	""	""	""	""	""	"4"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"MOL-SL-4-RA"	""	"Digi-key"	"WM4902-ND"	""	""	""	""	""	""	""	""	""
"1"	"MOL-SL-3-V"	"MOLSL_3PIN_SL3V_V"	"MOLSL-3-V"	"J603"	"Molex SL Series 3-Position Connector"	""	""	""	""	""	""	""	""	""	""	""	""	"HW/docs/projects/raspi_zero_power_sensor_hat/datasheets/connectors/uart_1wire_power_battery/705430001_sd.pdf"	""	""	""	""	""	"GOLD"	""	""	""	""	""	""	""	"YES"	"Molex"	"0705430002"	"3.0A"	""	"VERTICAL"	"TH"	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"MOL-SL-3-V"	""	"Digi-key"	"WM4801-ND"	""	""	""	""	""	""	""	""	""
"1"	"RECEPTACLE-2x3-2.54MM"	"RECEPTICAL-2X3-254MM-PIZERO-RUN_2X3_254MM_TH"	"RECEPTACLE-2X3-254MM"	"J604"	".100” [2.54 mm] Contact Centers, Female Headers, Straight/Right Angle/SMT"	""	""	""	""	""	""	""	""	""	""	""	""	"HW/docs/projects/raspi_zero_power_sensor_hat/datasheets/connectors/raspi_header/78_P\(N\)PxCxxxLFBN-RC\,_10492-H.pdf"	""	""	""	""	""	"GOLD"	""	""	""	""	""	""	""	""	"Sullins"	"PPPC032LFBN-RC"	"3.0A"	""	"VERTICAL"	"TH"	""	""	""	""	"2.54mm"	""	"6"	""	""	""	""	""	""	""	"2"	""	""	""	""	""	""	""	""	""	"RECEPTACLE-2x3-2.54MM"	""	"Digi-key"	"S7106-ND"	""	""	""	""	""	""	""	""	""
"1"	"1.0uH"	"L_1UH0_2SMD3"	"SMD410P190X160-2N"	"L401"	"Surface Mount Inductor"	""	""	""	""	""	""	""	""	""	"11.5A"	""	"11.5A"	"HW/docs/projects/raspi_zero_power_sensor_hat/datasheets/passives/744316100.pdf"	"4.75mOHM"	""	""	""	""	""	""	""	""	""	""	""	""	""	"Wurth Electronics"	"744316100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"YES"	"158MHz"	""	""	""	""	""	"20%"	""	"1.0uH"	""	"Digi-key"	"732-6176-1-ND"	""	""	""	""	""	""	""	""	""
"1"	""	"CMS_LOGO"	"CMS_LOGO"	"LOGO601"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"1"	""	"SQUAD_LOGO"	"SQUAD_LOGO"	"LOGO602"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"1"	"RASPI_ZERO_OUTLINE_3S0C_ONLY"	"RASPI_ZERO_OUTLINE_3S0C_ONLY"	"RASPI_ZERO_3STANDOFFS_ONLY"	"OUTLINE601"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"SSM6N7002KFU"	"MOSFET-NCHANNEL_DUAL_DUAL_SOT363"	"SOT363P080X040-6N"	"Q301, Q401"	"Mosfet Array 2 N-Channel (Dual) 60V 300mA 285mW Surface Mount US6"	""	""	""	""	""	""	""	""	"0.3A"	""	""	""	"HW/docs/projects/raspi_zero_power_sensor_hat/datasheets/wdt_reset/SSM6N7002KFU_datasheet_en_20170112.pdf"	""	""	""	""	"2 N-Channel (Dual)"	""	""	""	""	""	""	""	""	""	"Toshiba"	"SSM6N7002KFU,LF"	""	""	""	""	""	""	""	""	""	""	""	""	"285mW"	""	""	"1.5 Ohm @ 100mA, 10V"	""	""	""	""	""	""	""	""	""	""	""	""	"SSM6N7002KFU"	"60V"	"Digi-key"	"SSM6N7002KFULFCT-ND"	"2.1V @ 250µA"	""	""	""	""	""	""	""	""
"19"	"0.0"	"RES_0R0_0603"	"R0603"	"R301, R305, R306, R307, R308, R501, R502, R503, R504, R505, R506, R507, R601, R602, R605, R606, R609, R610, R611"	"Chip Resistor"	""	""	""	""	""	""	""	""	""	""	""	""	"HW/docs/projects/raspi_zero_power_sensor_hat/datasheets/passives/AOA0000C281.pdf"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Panasonic"	"ERJ-3GEY0R00V"	""	""	""	""	""	""	""	""	""	""	""	"1/10W"	""	""	"1.0A"	""	""	""	""	""	""	""	""	""	""	""	"Jmp"	""	"0.0"	""	"Digi-key"	"P0.0GCT-ND"	""	""	""	""	""	""	""	""	""
"7"	"2k"	"RES_2R0_0603"	"R0603"	"R302, R303, R304, R407, R410, R607, R608"	"Chip Resistor"	""	""	""	""	""	""	""	""	""	""	""	""	"HW/docs/projects/raspi_zero_power_sensor_hat/datasheets/passives/AOA0000C283.pdf"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Panasonic"	"ERJ-3EKF2001V"	""	""	""	""	""	""	""	""	""	""	""	"1/10W"	""	""	"1.0A"	""	""	""	""	""	""	""	""	""	""	""	"1%"	""	"2k"	""	"Digi-key"	"P2.00KHCT-ND"	""	""	""	""	""	""	""	""	""
"5"	"10k"	"RES_10R0_0603"	"R0603"	"R309, R310, R404, R405, R406"	"Chip Resistor"	""	""	""	""	""	""	""	""	""	""	""	""	"HW/docs/projects/raspi_zero_power_sensor_hat/datasheets/passives/AOA0000C283.pdf"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Panasonic"	"ERJ-3EKF1002V"	""	""	""	""	""	""	""	""	""	""	""	"1/10W"	""	""	"1.0A"	""	""	""	""	""	""	""	""	""	""	""	"1%"	""	"10k"	""	"Digi-key"	"P10.0KHCT-ND"	""	""	""	""	""	""	""	""	""
"2"	"49.9"	"RES_0R499_0603"	"R0603"	"R312, R403"	"Chip Resistor"	""	""	""	""	""	""	""	""	""	""	""	""	"HW/docs/projects/raspi_zero_power_sensor_hat/datasheets/passives/AOA0000C283.pdf"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Panasonic"	"ERJ-3EKF49R9V"	""	""	""	""	""	""	""	""	""	""	""	"1/10W"	""	""	"1.0A"	""	""	""	""	""	""	""	""	""	""	""	"1%"	""	"49.9"	""	"Digi-key"	"P49.9HCT-ND"	""	""	""	""	""	""	""	""	""
